tic_id,period_days,epoch_btjd,duration_hours,depth_ppm,bls_snr,cnn_probability,vetting_passed,vetting_reasons,rank_score
219436394,11.828349,1694.8623,2.0,605.1,12.46,0.1804,False,odd/even depth differ by 192.3% (948 vs 19 ppm),0.0
219485050,3.590807,2665.438,3.0,5944.2,70.32,0.9957,True,,0.9957
219489550,3.882615,2667.3299,2.0,2676.7,13.66,0.2789,False,odd/even depth differ by 23.2% (2068 vs 2611 ppm),0.0
219499488,1.632153,2666.2901,1.5,7734.7,91.83,0.2117,False,odd/even depth differ by 18.9% (8477 vs 7014 ppm),0.0
219501568,16.589602,1961.798,1.5,491.6,16.6,0.9634,False,odd/even depth differ by 15.6% (440 vs 514 ppm),0.0
219506608,10.870969,3399.1674,1.5,8068.9,7.06,0.8971,False,odd/even depth differ by 37.0% (9264 vs 6373 ppm),0.0
219508169,2.458971,1957.7625,2.0,773.3,9.75,0.3753,True,,0.3753
219701535,5.468026,3018.6689,2.0,2791.0,50.09,0.8193,True,,0.8193
219728669,2.360838,2666.7371,2.0,19370.9,13.57,0.9776,True,,0.9776
219742885,0.916765,1684.1054,2.0,26.9,9.68,0.0452,True,,0.0452
219762508,3.235079,1957.5563,1.0,2840.1,107.28,0.5093,True,,0.5093
219769290,7.410422,3046.7158,1.0,10412.3,10.85,0.1277,False,odd/even depth differ by 32.8% (12001 vs 8617 ppm),0.0
219803922,16.011199,3592.0024,1.5,2803.5,5.56,0.8511,False,odd/even depth differ by 133.3% (5204 vs 1042 ppm),0.0
219824470,5.480951,2644.636,4.0,1908.3,12.66,0.9829,False,odd/even depth differ by 20.7% (1586 vs 1952 ppm),0.0
219847787,11.591634,2834.0653,1.5,685.9,11.13,0.0571,True,,0.0571
219866209,6.747607,2581.3079,2.0,10720.8,417.65,0.6993,True,,0.6993
219875976,11.497941,1685.0703,2.0,827.8,10.88,0.0461,False,odd/even depth differ by 27.0% (897 vs 684 ppm),0.0
219879302,6.782045,1935.1597,2.0,8161.3,879.33,0.3304,True,,0.3304
219924802,2.947896,3129.3033,1.5,3737.3,23.13,0.3175,False,odd/even depth differ by 16.2% (3495 vs 4110 ppm),0.0
219978369,8.126345,3860.7404,6.0,2089.9,11.16,0.9293,True,,0.9293
220068921,3.365327,3996.4938,3.0,6591.3,43.75,0.9932,True,,0.9932
220144363,4.44813,3667.753,4.0,6500.7,17.08,0.995,True,,0.995
220414682,6.581421,1325.4103,4.0,44.2,7.8,0.2364,False,odd/even depth differ by 40.1% (56 vs 37 ppm),0.0
220459826,2.239527,1411.7371,1.5,719.7,39.54,0.2858,True,,0.2858
220460087,3.270597,3017.5297,4.0,5586.6,197.14,0.9916,True,,0.9916
220475245,3.781686,1632.6645,2.0,14650.3,1455.39,0.8369,True,,0.8369
220524097,3.961318,3156.186,2.0,12765.0,141.56,0.8815,True,,0.8815
220547837,8.456016,3021.7489,3.0,4889.2,57.36,0.7131,True,,0.7131
221566773,3.25303,3830.9789,4.0,7719.7,25.59,0.9553,True,,0.9553
221785300,3.78336,3100.9499,3.0,12584.1,57.29,0.9844,True,,0.9844
221861843,2.217823,3098.8455,1.5,13504.4,175.32,0.9527,True,,0.9527
221882319,5.188966,3102.6663,4.0,9070.1,101.4,0.9522,True,,0.9522
222485202,3.598498,3482.5164,1.5,20670.2,12.69,0.9637,True,,0.9637
224217761,2.565153,3210.4414,2.0,11989.5,28.14,0.9171,True,,0.9171
224271611,4.040126,2090.4385,2.0,594.6,6.78,0.6281,False,odd/even depth differ by 16.0% (511 vs 599 ppm),0.0
224279091,12.753778,3193.5657,1.0,3959.5,6.53,0.0,False,odd/even depth differ by 38.7% (3378 vs 5000 ppm),0.0
224293782,0.573292,3339.88,0.5,1103.8,5.3,0.0181,False,odd/even depth differ by 39.7% (864 vs 1291 ppm),0.0
224297408,8.275182,1711.6051,2.0,834.4,13.15,0.8548,True,,0.8548
224298134,1.492321,1711.9636,1.0,664.0,10.48,0.6818,True,,0.6818
224299081,12.666568,2614.2242,6.0,1484.6,14.14,0.9606,False,odd/even depth differ by 70.5% (2224 vs 1065 ppm),0.0
224328450,12.886195,3434.4886,1.5,15880.2,8.81,0.1748,True,,0.1748
224596152,14.43674,1688.9001,4.0,208.0,14.31,0.9289,False,odd/even depth differ by 174.2% (28 vs 407 ppm),0.0
224603921,13.172651,1696.0273,6.0,52.6,6.48,0.0874,False,odd/even depth differ by 192.7% (84 vs 2 ppm),0.0
228507250,6.157237,2092.7535,2.0,9407.6,45.0,0.3339,True,,0.3339
228694725,0.832183,3042.1275,1.0,3169.7,22.48,0.3764,True,,0.3764
229111835,6.701468,3915.785,1.5,10244.9,7.69,0.7677,True,,0.7677
229138584,2.912227,3184.8703,3.0,1183.0,8.53,0.909,False,odd/even depth differ by 18.9% (1249 vs 1034 ppm),0.0
229167359,2.681653,3667.6962,1.0,1157.7,6.6,0.4385,True,,0.4385
229210014,4.008653,3237.3212,2.0,8212.2,52.66,0.9306,True,,0.9306
229408913,4.803581,2585.494,2.0,1704.1,17.41,0.9328,True,,0.9328
229465678,4.42881,4101.3228,2.0,14731.8,21.55,0.9836,True,,0.9836
229490898,2.234905,1956.1674,2.0,2858.4,610.74,0.044,True,,0.044
229508727,11.566006,2581.5721,2.0,3624.2,20.97,0.1163,False,odd/even depth differ by 171.2% (7153 vs 555 ppm),0.0
229581160,3.41485,2392.7925,2.0,11520.7,903.45,0.9543,True,,0.9543
229586455,2.200059,1955.843,2.0,872.4,69.34,0.6222,True,,0.6222
229605578,13.823835,1690.8237,1.5,477.8,6.6,0.0095,False,odd/even depth differ by 37.0% (322 vs 222 ppm),0.0
229605891,2.038163,2583.1163,2.0,16683.1,2571.67,0.9707,True,,0.9707
229618478,19.448501,1698.8363,3.0,1157.3,19.9,0.9447,True,,0.9447
229639351,2.86682,2584.3944,1.5,6577.5,205.52,0.284,True,,0.284
229671380,3.939459,2392.5631,6.0,2910.8,1172.84,0.9423,True,,0.9423
229713401,6.442576,2827.0829,3.0,1074.7,20.82,0.9295,True,,0.9295
229715760,11.574542,1961.5304,4.0,12084.9,865.2,0.4681,True,,0.4681
229750058,10.18233,1937.5381,2.0,8931.7,1524.62,0.8475,True,,0.8475
229781583,4.820622,1684.508,2.0,1226.6,51.04,0.0854,True,,0.0854
229786610,0.544355,1683.4119,0.5,227.2,22.78,0.0155,True,,0.0155
229787062,1.901181,1983.8448,1.5,1005.0,64.8,0.0643,True,,0.0643
229811538,11.529371,1578.4127,4.0,20653.0,63.12,0.9921,True,,0.9921
229888286,5.598658,2668.4399,4.0,1946.8,24.06,0.9822,False,odd/even depth differ by 18.6% (2177 vs 1806 ppm),0.0
229938290,4.252379,1686.0606,8.0,124.3,6.83,0.0071,False,odd/even depth differ by 15.5% (90 vs 105 ppm),0.0
229940491,18.728921,1699.0961,2.0,2141.9,174.39,0.0362,False,odd/even depth differ by 198.8% (13 vs 4402 ppm),0.0
229944666,11.31282,1693.4337,2.0,716.5,52.66,0.7301,True,,0.7301
230006888,12.279179,2584.0025,4.0,4333.5,29.13,0.9885,False,odd/even depth differ by 16.6% (3834 vs 4527 ppm),0.0
230013442,3.138454,3288.8805,2.0,14130.0,195.72,0.9828,True,,0.9828
230017324,9.692665,1691.3005,3.0,1373.1,181.36,0.9913,True,,0.9913
230064711,15.252475,1695.084,4.0,143.6,8.19,0.0459,False,odd/even depth differ by 96.2% (63 vs 180 ppm),0.0
230084146,12.320015,1958.4046,2.0,4391.3,126.2,0.9568,True,,0.9568
230087585,8.82637,1960.6773,3.0,4923.6,360.74,0.9914,True,,0.9914
230088370,14.00761,1695.3718,6.0,4565.0,2128.63,0.9753,True,,0.9753
230129753,5.747657,2392.145,1.5,13039.7,87.53,0.9654,True,,0.9654
230290708,11.317829,3314.1372,3.0,4484.2,24.17,0.9757,False,odd/even depth differ by 18.7% (4911 vs 4071 ppm),0.0
230292034,6.067049,3313.7332,2.0,2132.1,22.75,0.96,False,odd/even depth differ by 25.6% (1814 vs 2347 ppm),0.0
230375747,2.763399,1956.3804,3.0,10933.4,2434.17,0.9864,True,,0.9864
230377505,4.515585,1685.4756,3.0,310.9,57.55,0.9823,True,,0.9823
230386259,11.002493,2394.7684,6.0,251.4,35.42,0.9457,True,,0.9457
230387153,13.917986,1686.8813,4.0,325.2,15.05,0.7973,False,odd/even depth differ by 28.1% (287 vs 380 ppm),0.0
230388132,2.407628,2582.8407,1.5,4206.2,187.42,0.9373,True,,0.9373
230840853,4.118374,2798.9609,2.0,12613.2,50.5,0.8788,True,,0.8788
230980206,3.37627,3183.9826,3.0,9642.7,52.81,0.957,True,,0.957
230982415,15.19295,3913.3387,2.0,46201.1,11.54,0.988,False,depth 4.62% exceeds 3.0% cap,0.0
231063955,3.497205,2090.7591,2.0,11438.0,82.75,0.1313,True,,0.1313
231065398,7.788811,3184.178,3.0,8573.1,21.75,0.9344,True,,0.9344
231071138,18.841182,3183.5926,3.0,4491.3,33.07,0.978,True,,0.978
231077395,3.390498,2965.3352,3.0,277.7,29.51,0.9542,False,odd/even depth differ by 16.3% (238 vs 281 ppm),0.0
231081369,7.631812,1551.1337,2.0,2994.2,316.11,0.2902,True,,0.2902
